lineup,team,opponent,month,dayofmonth,minutes,points
G. Antetokounmpo | J. Henson | B. Knight | O. Mayo | K. Middleton,MIL,LAL,2,4,11.6,99.3103448276
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,NYK,4,10,19.1,57.8010471204
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,IND,3,26,19.3,47.2538860104
M. Carter-Williams | E. Ilyasova | O. Mayo | K. Middleton | Z. Pachulia,MIL,ORL,4,4,10.7,80.7476635514
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,BRK,3,20,34.7,22.1325648415
J. Bayless | J. Dudley | O. Mayo | K. Middleton | Z. Pachulia,MIL,ATL,12,27,9.1,79.1208791209
G. Antetokounmpo | J. Dudley | J. Henson | B. Knight | O. Mayo,MIL,CHO,12,29,7.4,97.2972972973
M. Carter-Williams | E. Ilyasova | O. Mayo | K. Middleton | Z. Pachulia,MIL,BOS,4,3,8.1,88.8888888889
J. Bayless | J. Dudley | E. Ilyasova | K. Marshall | K. Middleton,MIL,DET,11,28,17.9,40.2234636872
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,BRK,4,12,17.1,39.298245614
J. Dudley | E. Ilyasova | B. Knight | K. Middleton | Z. Pachulia,MIL,DET,1,24,5.6,120.0
G. Antetokounmpo | B. Knight | O. Mayo | J. Parker | L. Sanders,MIL,MIN,11,26,23.7,28.3544303797
G. Antetokounmpo | J. Dudley | J. Gutierrez | J. Henson | K. Middleton,MIL,TOR,2,2,15.0,41.6
G. Antetokounmpo | J. Bayless | J. Dudley | J. Henson | O. Mayo,MIL,BRK,4,12,7.8,73.8461538462
G. Antetokounmpo | B. Knight | K. Middleton | J. O'Bryant | Z. Pachulia,MIL,NYK,1,15,10.1,57.0297029703
G. Antetokounmpo | E. Ilyasova | B. Knight | K. Middleton | Z. Pachulia,MIL,UTA,1,22,15.0,38.4
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,WAS,3,7,13.5,42.6666666667
G. Antetokounmpo | M. Carter-Williams | J. Dudley | J. Henson | O. Mayo,MIL,NYK,4,10,7.5,76.8
J. Bayless | J. Dudley | O. Mayo | K. Middleton | Z. Pachulia,MIL,ATL,12,26,4.6,114.782608696
G. Antetokounmpo | B. Knight | K. Middleton | J. Parker | L. Sanders,MIL,MIA,11,16,7.6,69.4736842105
B. Knight | O. Mayo | K. Middleton | J. Parker | L. Sanders,MIL,PHI,10,31,7.7,68.5714285714
J. Bayless | J. Dudley | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,CLE,12,2,5.4,97.7777777778
G. Antetokounmpo | B. Knight | K. Middleton | J. O'Bryant | Z. Pachulia,MIL,CLE,12,31,12.6,41.9047619048
G. Antetokounmpo | J. Bayless | J. Dudley | J. Henson | O. Mayo,MIL,MIA,1,27,5.4,88.8888888889
J. Bayless | J. Dudley | J. Henson | O. Mayo | K. Middleton,MIL,DEN,2,20,3.1,154.838709677
E. Ilyasova | B. Knight | O. Mayo | K. Middleton | Z. Pachulia,MIL,NYK,1,15,2.5,192.0
J. Bayless | B. Knight | K. Middleton | Z. Pachulia | J. Parker,MIL,NYK,11,18,3.9,123.076923077
M. Carter-Williams | J. Dudley | J. Henson | K. Middleton | Z. Pachulia,MIL,CLE,4,8,3.9,123.076923077
J. Bayless | J. Dudley | J. Henson | O. Mayo | K. Middleton,MIL,PHI,1,7,2.9,165.517241379
J. Bayless | J. Dudley | J. Henson | K. Marshall | O. Mayo,MIL,MIN,1,9,5.0,96.0
J. Dudley | B. Knight | K. Middleton | J. Parker | L. Sanders,MIL,PHI,10,31,14.5,33.1034482759
G. Antetokounmpo | J. Bayless | J. Dudley | J. Gutierrez | E. Ilyasova,MIL,BRK,2,9,3.6,133.333333333
G. Antetokounmpo | J. Bayless | J. Dudley | T. Ennis | M. Plumlee,MIL,LAL,2,27,4.5,106.666666667
J. Bayless | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,PHO,12,15,14.5,33.1034482759
J. Bayless | J. Dudley | K. Marshall | K. Middleton | L. Sanders,MIL,CHO,12,23,3.4,127.058823529
G. Antetokounmpo | J. Dudley | B. Knight | K. Martin | K. Middleton,MIL,ORL,1,29,3.8,113.684210526
G. Antetokounmpo | J. Dudley | J. Henson | B. Knight | K. Middleton,MIL,POR,1,31,22.2,19.4594594595
G. Antetokounmpo | J. Bayless | J. Henson | E. Ilyasova | O. Mayo,MIL,CHO,10,29,4.0,108.0
M. Carter-Williams | J. Henson | E. Ilyasova | O. Mayo | K. Middleton,MIL,PHI,4,13,6.2,69.6774193548
G. Antetokounmpo | J. Henson | E. Ilyasova | B. Knight | O. Mayo,MIL,SAS,1,25,1.9,227.368421053
G. Antetokounmpo | J. Bayless | J. Dudley | K. Marshall | L. Sanders,MIL,MIA,12,5,3.1,139.35483871
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,IND,3,12,21.2,20.3773584906
J. Bayless | J. Dudley | K. Marshall | K. Middleton | Z. Pachulia,MIL,DAL,12,3,6.0,64.0
G. Antetokounmpo | M. Carter-Williams | T. Ennis | J. Henson | K. Middleton,MIL,NOP,3,17,3.7,103.783783784
G. Antetokounmpo | B. Knight | O. Mayo | K. Middleton | Z. Pachulia,MIL,BRK,2,9,4.2,91.4285714286
G. Antetokounmpo | J. Dudley | J. Henson | B. Knight | K. Middleton,MIL,CLE,12,31,4.1,93.6585365854
G. Antetokounmpo | J. Bayless | J. Dudley | K. Middleton | Z. Pachulia,MIL,DEN,2,20,10.7,35.8878504673
J. Dudley | B. Knight | K. Marshall | K. Middleton | Z. Pachulia,MIL,CHO,12,29,3.4,112.941176471
G. Antetokounmpo | J. Dudley | B. Knight | J. Parker | L. Sanders,MIL,ORL,11,14,2.2,174.545454545
M. Carter-Williams | T. Ennis | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,PHI,4,13,2.8,137.142857143
J. Bayless | J. Dudley | T. Ennis | J. Henson | K. Middleton,MIL,PHI,2,25,8.7,44.1379310345
J. Bayless | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,OKC,12,9,3.5,109.714285714
J. Bayless | J. Dudley | J. Henson | O. Mayo | K. Middleton,MIL,ATL,12,27,11.9,32.268907563
J. Dudley | E. Ilyasova | B. Knight | J. Parker | L. Sanders,MIL,ORL,11,14,8.3,46.265060241
G. Antetokounmpo | T. Ennis | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,MEM,3,14,16.3,20.6134969325
G. Antetokounmpo | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,CHO,12,29,3.8,88.4210526316
G. Antetokounmpo | J. Bayless | K. Martin | O. Mayo | K. Middleton,MIL,POR,1,31,2.5,134.4
B. Knight | K. Middleton | J. O'Bryant | Z. Pachulia | N. Wolters,MIL,PHI,1,7,8.1,41.4814814815
G. Antetokounmpo | J. Bayless | J. Henson | O. Mayo | K. Middleton,MIL,PHI,4,13,4.8,70.0
J. Dudley | K. Marshall | K. Middleton | J. Parker | L. Sanders,MIL,LAC,12,13,4.7,71.4893617021
G. Antetokounmpo | J. Bayless | O. Mayo | K. Middleton | Z. Pachulia,MIL,DET,1,24,2.3,146.086956522
G. Antetokounmpo | J. Bayless | J. Henson | E. Ilyasova | K. Middleton,MIL,NOP,3,17,2.8,120.0
G. Antetokounmpo | M. Carter-Williams | T. Ennis | J. Henson | E. Ilyasova,MIL,IND,3,26,1.1,305.454545455
G. Antetokounmpo | B. Knight | K. Marshall | K. Middleton | Z. Pachulia,MIL,MIN,1,9,3.1,108.387096774
J. Bayless | K. Marshall | K. Middleton | J. Parker | L. Sanders,MIL,LAC,12,13,3.9,86.1538461538
G. Antetokounmpo | J. Bayless | B. Knight | K. Middleton | Z. Pachulia,MIL,IND,1,2,5.7,58.9473684211
G. Antetokounmpo | B. Knight | O. Mayo | J. Parker | L. Sanders,MIL,DET,11,25,20.8,16.1538461538
J. Dudley | E. Ilyasova | B. Knight | J. Parker | L. Sanders,MIL,IND,11,4,16.6,20.2409638554
G. Antetokounmpo | M. Carter-Williams | J. Dudley | K. Middleton | Z. Pachulia,MIL,ORL,3,11,5.8,57.9310344828
