lineup,team,opponent,month,dayofmonth,minutes,avg_pm,points,pred
D. DeRozan | T. Hansbrough | J. Johnson | G. Vasquez | L. Williams,TOR,MIA,3,13,1.2,43.6363636364,-120.0,-7.37269933621
T. Allen | M. Conley | M. Gasol | C. Lee | Z. Randolph,MEM,NOP,3,7,5.9,-26.3736263736,-65.0847457627,-51.1619959105
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,PHI,3,27,21.8,23.645320197,55.0458715596,33.2549353222
T. Ariza | P. Beverley | J. Harden | D. Motiejunas | J. Smith,HOU,PHO,3,21,3.4,68.016194332,42.3529411765,57.4701551798
T. Chandler | M. Ellis | D. Nowitzki | C. Parsons | R. Rondo,DAL,SAS,3,24,14.3,8.27586206896,-6.71328671329,-39.4403945807
T. Chandler | M. Ellis | D. Harris | D. Nowitzki | C. Parsons,DAL,SAS,3,24,4.1,21.6623376623,23.4146341463,30.9236204264
T. Hansbrough | J. Johnson | P. Patterson | G. Vasquez | L. Williams,TOR,CHI,3,20,3.3,62.891566265,43.6363636364,44.6095374266
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,NYK,3,14,18.1,2.80701754386,42.4309392265,35.5055963725
B. Diaw | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,BOS,3,20,7.4,25.2631578947,19.4594594595,25.880651713
D. DeRozan | P. Patterson | T. Ross | J. Valanciunas | L. Williams,TOR,BKN,4,3,6.1,60.0,-39.3442622951,-23.156910435
G. Henderson | A. Jefferson | L. Stephenson | K. Walker | M. Williams,CHA,LAC,3,17,1.5,-29.2173913043,0.0,-33.73978714
D. Carroll | A. Horford | K. Korver | P. Millsap | J. Teague,ATL,BKN,4,4,6.6,-10.1204819277,36.3636363636,32.5848058705
D. DeRozan | K. Lowry | P. Patterson | T. Ross | J. Valanciunas,TOR,OKC,3,8,5.7,-9.50495049508,16.8421052632,-3.45345801761
T. Ariza | J. Harden | D. Howard | T. Jones | J. Terry,HOU,UTA,4,15,13.7,-40.0,45.5474452555,32.3607485198
K. Irving | L. James | K. Love | T. Mozgov | J. Smith,CLE,CHI,4,5,14.8,33.3913043478,-9.72972972973,-25.2263862773
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,DAL,3,6,15.1,-16.5517241379,31.7880794702,42.1095762589
L. Aldridge | N. Batum | D. Lillard | R. Lopez | W. Matthews,POR,DAL,3,5,12.3,-1.56222675604,23.4146341463,30.6225272581
R. Hibbert | G. Hill | S. Hill | R. Stuckey | D. West,IND,CHI,3,18,5.4,-22.1538461538,-17.7777777778,-49.2220885706
T. Burke | D. Favors | R. Gobert | G. Hayward | E. Millsap,UTA,LAL,3,19,5.0,-26.6666666667,76.8,41.0079028135
K. Irving | L. James | K. Love | T. Mozgov | J. Smith,CLE,PHI,3,29,15.1,49.8113207548,0.0,12.4606449298
A. Aminu | T. Chandler | M. Ellis | D. Harris | C. Parsons,DAL,HOU,4,2,1.8,162.666666666,26.6666666667,55.1131387418
V. Carter | M. Conley | M. Gasol | C. Lee | Z. Randolph,MEM,SAS,3,29,12.9,16.7164179105,-26.0465116279,-30.9106098198
K. Irving | L. James | K. Love | T. Mozgov | J. Smith,CLE,PHO,3,7,15.5,-12.0,40.2580645161,23.3201083748
A. Brooks | J. Butler | M. Dunleavy | P. Gasol | T. Gibson,CHI,PHI,4,11,6.4,39.1836734694,-52.5,-15.2262005472
A. Anderson | B. Bogdanovic | J. Jack | C. Jefferson | M. Plumlee,BKN,PHI,3,14,9.9,12.3076923077,9.69696969697,31.0911280139
