lineup,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,60,42,18,0.7,1217.0,117.8,100.0,17.7,0.692,2.51,21.7,0.271,0.76,0.528,0.123,0.571,0.595,97.03,0.608
D. Carroll | A. Horford | K. Korver | P. Millsap | J. Teague,ATL,57,43,14,0.754,915.0,109.8,101.6,8.1,0.725,2.01,21.8,0.212,0.726,0.478,0.151,0.554,0.587,96.89,0.557
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,58,51,7,0.879,813.0,114.4,94.8,19.6,0.701,2.25,22.3,0.203,0.772,0.503,0.138,0.583,0.603,100.66,0.602
L. Aldridge | N. Batum | D. Lillard | R. Lopez | W. Matthews,POR,32,24,8,0.75,629.0,107.8,97.1,10.7,0.558,1.77,16.8,0.249,0.769,0.523,0.127,0.503,0.547,96.13,0.572
B. Beal | M. Gortat | N. Hilario | P. Pierce | J. Wall,WAS,40,20,20,0.5,596.0,106.1,98.7,7.4,0.647,1.86,20.0,0.216,0.817,0.518,0.147,0.535,0.561,96.79,0.541
K. Irving | L. James | K. Love | T. Mozgov | J. Smith,CLE,33,29,4,0.879,481.0,116.1,96.8,19.3,0.628,1.82,20.0,0.277,0.752,0.531,0.153,0.578,0.604,97.07,0.601
T. Allen | M. Conley | M. Gasol | C. Lee | Z. Randolph,MEM,43,31,12,0.721,460.0,110.1,102.7,7.4,0.552,1.5,17.3,0.239,0.724,0.49,0.152,0.535,0.585,94.98,0.547
T. Chandler | M. Ellis | D. Nowitzki | C. Parsons | R. Rondo,DAL,31,17,14,0.548,455.0,103.0,106.7,-3.8,0.583,1.57,18.3,0.221,0.744,0.47,0.157,0.526,0.546,96.72,0.468
D. Collison | D. Cousins | R. Gay | B. McLemore | J. Thompson,SAC,30,14,16,0.467,427.0,108.1,91.8,16.4,0.518,1.5,16.4,0.24,0.795,0.534,0.143,0.528,0.566,97.75,0.594
M. Conley | M. Gasol | J. Green | C. Lee | Z. Randolph,MEM,29,19,10,0.655,426.0,100.4,103.4,-3.0,0.597,1.65,17.5,0.191,0.766,0.474,0.139,0.481,0.531,92.72,0.504
A. Afflalo | W. Chandler | K. Faried | T. Lawson | T. Mozgov,DEN,29,14,15,0.483,416.0,107.1,108.6,-1.5,0.563,1.45,16.9,0.317,0.779,0.544,0.16,0.512,0.546,96.92,0.486
E. Bledsoe | G. Dragic | A. Len | M. Morris | P. Tucker,PHX,35,19,16,0.543,392.0,103.9,94.5,9.4,0.497,1.35,16.1,0.239,0.755,0.51,0.156,0.524,0.549,98.67,0.554
D. DeRozan | A. Johnson | K. Lowry | T. Ross | J. Valanciunas,TOR,32,20,12,0.625,390.0,107.2,104.7,2.6,0.543,1.57,17.2,0.222,0.783,0.521,0.145,0.535,0.568,96.03,0.51
R. Hibbert | G. Hill | S. Hill | C. Miles | D. West,IND,30,19,11,0.633,374.0,104.6,100.3,4.3,0.663,2.22,19.0,0.215,0.801,0.512,0.116,0.49,0.532,94.28,0.542
T. Ariza | P. Beverley | J. Harden | D. Howard | D. Motiejunas,HOU,25,15,10,0.6,360.0,108.1,96.7,11.5,0.663,1.37,18.7,0.289,0.748,0.523,0.188,0.547,0.58,98.41,0.541
J. Butler | M. Dunleavy | P. Gasol | J. Noah | D. Rose,CHI,21,16,5,0.762,353.0,107.2,103.5,3.7,0.646,1.92,19.2,0.25,0.77,0.525,0.137,0.511,0.552,95.78,0.549
O. Asik | A. Davis | T. Evans | E. Gordon | Q. Pondexter,NOP,25,18,7,0.72,346.0,109.0,104.5,4.5,0.642,1.79,19.6,0.268,0.759,0.512,0.152,0.543,0.564,92.38,0.518
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,24,10,14,0.417,344.0,107.3,97.4,9.9,0.667,1.7,19.7,0.3,0.792,0.543,0.163,0.519,0.556,97.2,0.561
C. Boozer | K. Bryant | J. Hill | W. Johnson | J. Lin,LAL,20,5,15,0.25,338.0,102.4,117.6,-15.2,0.632,1.9,18.5,0.245,0.745,0.479,0.133,0.482,0.521,98.74,0.415
T. Burke | A. Burks | D. Favors | G. Hayward | E. Kanter,UTA,24,9,15,0.375,328.0,114.4,114.8,-0.3,0.54,1.88,18.4,0.266,0.755,0.515,0.133,0.56,0.584,91.04,0.498
B. Bass | A. Bradley | M. Smart | E. Turner | T. Zeller,BOS,33,19,14,0.576,321.0,95.1,102.3,-7.2,0.592,2.08,18.2,0.182,0.768,0.471,0.117,0.471,0.49,97.95,0.464
